ANO,MES,PAIS,PROVINCIA,PLANTA,CANT. MUESTRA,INDICE_POTABILIDAD_(%),CLORO_RESIDUAL_(Mg/l)
2019,MAYO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","0,50"
2019,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,43,"98,60","1,10"
2019,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,36,"96,10","1,20"
2019,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,35,"97,10","1,30"
2019,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","0,80"
2019,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","0,60"
2019,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,48,"97,10","1,20"
2019,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,38,"97,40","1,20"
2019,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,41,"97,60","1,30"
2019,JULIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","1,10"
2019,JULIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"100,00","1,10"
2019,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,42,"93,80","1,10"
2019,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,34,"95,30","1,20"
2019,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,34,"100,00","1,20"
2019,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","0,90"
2019,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","0,60"
2019,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,43,"98,10","1,10"
2019,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,36,"100,00","1,30"
2019,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,37,"96,20","1,20"
2019,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"73,00","0,90"
2019,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","0,50"
2019,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,50,"96,80","1,00"
2019,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,36,"96,70","1,20"
2019,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,38,"97,40","1,30"
2019,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,10"
2019,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","0,80"
2019,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,39,"99,50","1,10"
2019,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,26,"100,00","1,10"
2019,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,27,"100,00","1,40"
2019,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","0,90"
2019,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,00"
2019,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,36,"97,20","1,20"
2019,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,27,"100,00","1,40"
2019,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,27,"100,00","1,30"
2019,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","0,80"
2019,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","0,50"
2020,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,40,"100,00","1,20"
2020,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,27,"100,00","1,40"
2020,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,27,"100,00","1,30"
2020,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"80,00","0,80"
