ANO,MES,PAIS,PROVINCIA,MUNICIPIO,PLANTA,CANTIDAD_(Millones M3)
2018,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,06"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,04"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"8,22"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"2,10"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,98"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,59"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,13"
2018,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,06"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,03"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"8,22"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"2,09"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,95"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,42"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2019,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,07"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,29"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,07"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,59"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,90"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,24"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2019,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,07"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SAN JOSE DE LAS MATAS,SAJOMA,"0,04"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,03"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,77"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,82"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,94"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,38"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,14"
2019,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,07"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SAN JOSE DE LAS MATAS,SAJOMA,"0,04"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA LA BARRANQUITA,"0,03"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA,"7,50"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA NORIEGA II,"1,43"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 10 MGD,"0,94"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,SANTIAGO,PLANTA 25 MGD,"1,26"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ,"0,15"
2019,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,PLANTA VILLA GONZALEZ II,"0,06"
